Barcode,Mid
s_008um_00404_00201-1,PC
s_008um_00470_00230-1,PC
s_008um_00460_00235-1,PC
s_008um_00431_00217-1,PC
s_008um_00473_00218-1,PC
s_008um_00458_00241-1,PC
s_008um_00429_00236-1,PC
s_008um_00418_00225-1,PC
s_008um_00469_00199-1,PC
s_008um_00467_00224-1,PC
s_008um_00472_00229-1,PC
s_008um_00412_00234-1,PC
s_008um_00464_00218-1,PC
s_008um_00476_00227-1,PC
s_008um_00437_00220-1,PC
s_008um_00463_00207-1,PC
s_008um_00431_00223-1,PC
s_008um_00474_00234-1,PC
s_008um_00475_00204-1,PC
s_008um_00415_00231-1,PC
s_008um_00471_00207-1,PC
s_008um_00479_00227-1,PC
s_008um_00479_00219-1,PC
s_008um_00470_00216-1,PC
s_008um_00440_00233-1,PC
s_008um_00452_00231-1,PC
s_008um_00448_00234-1,PC
s_008um_00480_00206-1,PC
s_008um_00426_00223-1,PC
s_008um_00432_00237-1,PC
s_008um_00471_00209-1,PC
s_008um_00435_00238-1,PC
s_008um_00429_00228-1,PC
s_008um_00479_00196-1,PC
s_008um_00439_00236-1,PC
s_008um_00456_00213-1,PC
s_008um_00461_00234-1,PC
s_008um_00442_00218-1,PC
s_008um_00422_00233-1,PC
s_008um_00479_00210-1,PC
s_008um_00459_00237-1,PC
s_008um_00474_00205-1,PC
s_008um_00465_00214-1,PC
s_008um_00430_00222-1,PC
s_008um_00475_00203-1,PC
s_008um_00467_00233-1,PC
s_008um_00413_00203-1,PC
s_008um_00437_00237-1,PC
s_008um_00465_00232-1,PC
s_008um_00425_00213-1,PC
s_008um_00478_00207-1,PC
s_008um_00461_00230-1,PC
s_008um_00429_00211-1,PC
s_008um_00479_00221-1,PC
s_008um_00423_00217-1,PC
s_008um_00411_00226-1,PC
s_008um_00469_00215-1,PC
s_008um_00471_00231-1,PC
s_008um_00448_00228-1,PC
s_008um_00428_00237-1,PC
s_008um_00407_00206-1,PC
s_008um_00475_00226-1,PC
s_008um_00455_00212-1,PC
s_008um_00481_00225-1,PC
s_008um_00474_00214-1,PC
s_008um_00437_00238-1,PC
s_008um_00422_00205-1,PC
s_008um_00443_00229-1,PC
s_008um_00436_00228-1,PC
s_008um_00466_00209-1,PC
s_008um_00471_00205-1,PC
s_008um_00459_00209-1,PC
s_008um_00442_00233-1,PC
s_008um_00419_00206-1,PC
s_008um_00451_00214-1,PC
s_008um_00441_00209-1,PC
s_008um_00454_00217-1,PC
s_008um_00481_00224-1,PC
s_008um_00422_00211-1,PC
s_008um_00439_00225-1,PC
s_008um_00475_00213-1,PC
s_008um_00476_00207-1,PC
s_008um_00446_00231-1,PC
s_008um_00446_00205-1,PC
s_008um_00435_00239-1,PC
s_008um_00481_00208-1,PC
s_008um_00416_00228-1,PC
s_008um_00416_00225-1,PC
s_008um_00462_00226-1,PC
s_008um_00437_00239-1,PC
s_008um_00459_00231-1,PC
s_008um_00450_00241-1,PC
s_008um_00433_00232-1,PC
s_008um_00439_00222-1,PC
s_008um_00411_00217-1,PC
s_008um_00480_00217-1,PC
s_008um_00444_00237-1,PC
s_008um_00408_00213-1,PC
s_008um_00441_00216-1,PC
s_008um_00445_00212-1,PC
s_008um_00453_00205-1,PC
s_008um_00474_00209-1,PC
s_008um_00455_00239-1,PC
