Barcode,Top
s_008um_00081_00120-1,PC
s_008um_00143_00140-1,PC
s_008um_00117_00120-1,PC
s_008um_00088_00145-1,PC
s_008um_00155_00138-1,PC
s_008um_00090_00149-1,PC
s_008um_00132_00116-1,PC
s_008um_00099_00146-1,PC
s_008um_00153_00140-1,PC
s_008um_00137_00114-1,PC
s_008um_00143_00117-1,PC
s_008um_00089_00136-1,PC
s_008um_00100_00147-1,PC
s_008um_00134_00139-1,PC
s_008um_00107_00155-1,PC
s_008um_00105_00141-1,PC
s_008um_00108_00125-1,PC
s_008um_00142_00127-1,PC
s_008um_00137_00115-1,PC
s_008um_00131_00131-1,PC
s_008um_00144_00124-1,PC
s_008um_00134_00114-1,PC
s_008um_00129_00114-1,PC
s_008um_00084_00145-1,PC
s_008um_00097_00145-1,PC
s_008um_00101_00141-1,PC
s_008um_00107_00151-1,PC
s_008um_00084_00140-1,PC
s_008um_00142_00123-1,PC
s_008um_00109_00134-1,PC
s_008um_00082_00123-1,PC
s_008um_00111_00125-1,PC
s_008um_00130_00152-1,PC
s_008um_00145_00109-1,PC
s_008um_00123_00113-1,PC
s_008um_00148_00138-1,PC
s_008um_00082_00125-1,PC
s_008um_00096_00154-1,PC
s_008um_00117_00116-1,PC
s_008um_00117_00126-1,PC
s_008um_00091_00146-1,PC
s_008um_00120_00117-1,PC
s_008um_00104_00141-1,PC
s_008um_00099_00134-1,PC
s_008um_00096_00148-1,PC
s_008um_00113_00148-1,PC
s_008um_00142_00113-1,PC
s_008um_00130_00142-1,PC
s_008um_00144_00131-1,PC
s_008um_00123_00148-1,PC
s_008um_00137_00138-1,PC
s_008um_00091_00135-1,PC
s_008um_00151_00143-1,PC
s_008um_00086_00149-1,PC
s_008um_00132_00148-1,PC
s_008um_00108_00118-1,PC
s_008um_00141_00135-1,PC
s_008um_00147_00145-1,PC
s_008um_00132_00150-1,PC
s_008um_00140_00127-1,PC
s_008um_00140_00145-1,PC
s_008um_00143_00121-1,PC
s_008um_00098_00141-1,PC
s_008um_00149_00105-1,PC
s_008um_00080_00122-1,PC
s_008um_00151_00113-1,PC
s_008um_00138_00133-1,PC
s_008um_00120_00130-1,PC
s_008um_00103_00152-1,PC
s_008um_00097_00134-1,PC
s_008um_00124_00154-1,PC
s_008um_00122_00126-1,PC
