Barcode,Bot
s_008um_00653_00633-1,PC
s_008um_00647_00633-1,PC
s_008um_00669_00606-1,PC
s_008um_00635_00615-1,PC
s_008um_00686_00621-1,PC
s_008um_00681_00645-1,PC
s_008um_00682_00646-1,PC
s_008um_00634_00620-1,PC
s_008um_00651_00644-1,PC
s_008um_00653_00611-1,PC
s_008um_00634_00616-1,PC
s_008um_00655_00610-1,PC
s_008um_00686_00612-1,PC
s_008um_00670_00602-1,PC
s_008um_00640_00598-1,PC
s_008um_00683_00610-1,PC
s_008um_00662_00632-1,PC
s_008um_00658_00638-1,PC
s_008um_00680_00623-1,PC
s_008um_00645_00603-1,PC
s_008um_00635_00635-1,PC
s_008um_00630_00628-1,PC
s_008um_00633_00607-1,PC
s_008um_00668_00605-1,PC
s_008um_00663_00606-1,PC
s_008um_00651_00599-1,PC
s_008um_00645_00598-1,PC
s_008um_00654_00610-1,PC
s_008um_00623_00635-1,PC
s_008um_00676_00619-1,PC
s_008um_00645_00636-1,PC
s_008um_00639_00599-1,PC
s_008um_00659_00634-1,PC
s_008um_00647_00605-1,PC
s_008um_00650_00605-1,PC
s_008um_00626_00634-1,PC
s_008um_00680_00616-1,PC
s_008um_00681_00647-1,PC
s_008um_00637_00609-1,PC
s_008um_00628_00615-1,PC
s_008um_00648_00617-1,PC
s_008um_00635_00605-1,PC
s_008um_00682_00628-1,PC
s_008um_00687_00626-1,PC
s_008um_00649_00624-1,PC
s_008um_00641_00637-1,PC
s_008um_00693_00617-1,PC
s_008um_00650_00613-1,PC
s_008um_00687_00644-1,PC
s_008um_00678_00610-1,PC
s_008um_00660_00622-1,PC
s_008um_00666_00625-1,PC
s_008um_00675_00612-1,PC
s_008um_00636_00617-1,PC
s_008um_00621_00632-1,PC
s_008um_00693_00639-1,PC
s_008um_00663_00643-1,PC
s_008um_00635_00616-1,PC
s_008um_00658_00630-1,PC
s_008um_00638_00636-1,PC
s_008um_00671_00615-1,PC
s_008um_00691_00618-1,PC
s_008um_00685_00609-1,PC
s_008um_00667_00618-1,PC
s_008um_00632_00629-1,PC
s_008um_00627_00622-1,PC
s_008um_00650_00600-1,PC
s_008um_00690_00636-1,PC
s_008um_00674_00608-1,PC
s_008um_00685_00647-1,PC
s_008um_00660_00626-1,PC
s_008um_00625_00620-1,PC
s_008um_00636_00610-1,PC
s_008um_00665_00605-1,PC
s_008um_00654_00619-1,PC
s_008um_00620_00607-1,PC
s_008um_00648_00606-1,PC
